Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2008-12-17,Albury,14.1,20.9,0.0,4.530276697372482,6.568444658342335,ENE,22.0,SSW,E,11.0,9.0,69.0,82.0,1012.2,1010.4,8.0,1.0,17.2,18.1,No,Yes
2008-12-18,Albury,13.5,22.9,16.8,4.6159741911304355,6.572731059449759,W,63.0,N,WNW,6.0,20.0,80.0,65.0,1005.8,1002.2,8.0,1.0,18.0,21.5,Yes,Yes
2008-12-19,Albury,11.2,22.5,10.6,7.593125071888541,10.029915423159203,SSE,43.0,WSW,SW,24.0,17.0,47.0,32.0,1009.4,1009.7,2.811078116673926,2.0,15.5,21.0,Yes,No
2008-12-20,Albury,9.8,25.6,0.0,7.374540721966631,9.94805074181649,SSE,26.0,SE,NNW,17.0,6.0,45.0,26.0,1019.2,1017.1,2.2973446924211416,3.0823585263387265,15.8,23.2,No,No
2008-12-21,Albury,11.5,29.3,0.0,6.659088125860386,10.619224211498114,S,24.0,SE,SE,9.0,9.0,56.0,28.0,1019.3,1014.8,2.0478334568128638,2.6599647541548563,19.1,27.3,No,No
2008-12-22,Albury,17.1,33.0,0.0,9.160731254252436,12.17926219620258,NE,43.0,NE,N,17.0,22.0,38.0,28.0,1013.6,1008.1,1.3255065098592596,1.0,24.5,31.6,No,No
2008-12-23,Albury,20.5,31.8,0.0,9.396610350862723,10.172853242100459,WNW,41.0,W,W,19.0,20.0,54.0,24.0,1007.8,1005.7,3.854052966581314,3.151968647936606,23.8,30.8,No,No
2008-12-24,Albury,15.3,30.9,0.0,8.195511498376018,9.17798531240183,N,33.0,ESE,NW,6.0,13.0,55.0,23.0,1011.0,1008.2,5.0,3.8754363906082183,20.9,29.0,No,No
2008-12-25,Albury,12.6,32.4,0.0,8.384748806113443,12.273890904904569,W,43.0,E,W,4.0,19.0,49.0,17.0,1012.9,1010.1,1.6625058828294748,2.0536950862978713,21.5,31.2,No,No
2008-12-26,Albury,16.2,33.9,0.0,9.28151442689083,12.6045654878593,WSW,35.0,SE,WSW,9.0,13.0,45.0,19.0,1010.9,1007.6,1.4780555950873513,1.0,23.2,33.0,No,No
2008-12-28,Albury,20.1,32.7,0.0,9.132050872309346,11.373418200994923,WNW,48.0,N,WNW,13.0,30.0,56.0,15.0,1005.2,1001.7,3.4570398321735034,2.3938793188826217,24.6,32.1,No,No
2008-12-29,Albury,19.7,27.2,0.0,9.204865460582763,9.837135115770131,WNW,46.0,NW,WSW,19.0,30.0,49.0,22.0,1004.8,1004.2,4.492783825402373,3.2634951951883338,21.6,26.1,No,Yes
2008-12-30,Albury,12.5,24.2,1.2,6.022540641532668,3.404892508426281,WNW,50.0,WSW,SW,11.0,22.0,78.0,70.0,1005.6,1003.4,8.0,8.0,12.5,18.2,Yes,No
2008-12-31,Albury,12.0,24.4,0.8,7.409042944343336,10.882527411349486,W,39.0,WNW,WNW,17.0,17.0,48.0,28.0,1006.1,1005.1,1.0,2.5445897093950833,16.9,22.7,No,No
2009-01-01,Albury,11.3,26.5,0.0,7.602300654089864,10.8644577035335,WNW,56.0,W,WNW,19.0,31.0,46.0,26.0,1004.5,1003.2,2.6812577906647626,3.0838811545477043,19.7,25.7,No,No
2009-01-02,Albury,9.6,23.9,0.0,7.564573077516119,9.497974607437847,W,41.0,WSW,SSW,19.0,11.0,44.0,22.0,1014.4,1013.1,2.807326232663101,3.3620553332439975,14.9,22.1,No,No
2009-01-03,Albury,10.5,28.8,0.0,7.82485743205934,10.692623845501249,SSE,26.0,SSE,E,11.0,7.0,43.0,22.0,1018.7,1014.8,1.8252212504071963,2.588203829265158,17.1,26.5,No,No
2009-01-04,Albury,12.3,34.6,0.0,9.04327791166526,12.968777863094815,WNW,37.0,SSE,NW,6.0,17.0,41.0,12.0,1015.1,1010.3,0.9834579016821188,1.3552496707572637,20.7,33.9,No,No
2009-01-05,Albury,12.9,35.8,0.0,9.69401399433201,14.233706427221607,WNW,41.0,ENE,NW,6.0,26.0,41.0,9.0,1012.6,1009.2,0.7423549046615463,1.0532005810377179,22.4,34.4,No,No
2009-01-06,Albury,13.7,37.9,0.0,10.730124103058568,14.01249238076784,W,52.0,SE,WNW,4.0,26.0,33.0,8.0,1010.9,1006.7,0.6709426301998107,1.184861506252517,23.1,36.8,No,No
2009-01-07,Albury,16.1,38.9,0.0,10.981966110713312,13.6913356823828,W,57.0,E,W,6.0,30.0,34.0,12.0,1007.0,1002.7,1.1443364239509215,1.4408120891435203,25.2,38.4,No,No
2009-01-08,Albury,14.0,28.3,0.0,9.28073163258193,11.093440903913931,W,48.0,W,WSW,17.0,24.0,43.0,15.0,1011.9,1010.9,2.9447083200282727,2.4298859918669464,17.9,27.6,No,No
2009-01-09,Albury,12.5,28.4,0.0,8.794180639065988,10.22784261449026,NE,37.0,SSE,S,20.0,9.0,38.0,16.0,1017.8,1013.7,2.233382692128526,2.702909493242597,17.2,26.6,No,No
2009-01-10,Albury,17.0,30.8,0.0,9.416741382282101,9.306892868169479,NE,37.0,NNE,E,15.0,11.0,36.0,24.0,1013.4,1008.1,3.074122074483867,3.16214175470526,20.2,29.3,No,No
2009-01-11,Albury,16.9,32.0,0.0,8.48587828658216,10.502168962251822,S,31.0,SSE,N,13.0,17.0,52.0,31.0,1009.9,1006.8,2.9955302167440117,3.122811405324782,22.8,30.0,No,No
2009-01-12,Albury,17.3,34.7,0.0,9.723293197889578,12.304557568285144,SW,35.0,SE,WSW,7.0,15.0,48.0,16.0,1014.1,1012.1,2.068229045836219,2.046487637235881,24.2,33.2,No,No
2009-01-13,Albury,17.2,37.7,0.0,9.677782324094881,12.484930996274226,NNW,35.0,SE,NW,7.0,17.0,51.0,19.0,1015.7,1010.9,1.7499833904540942,1.9349248773384353,24.3,35.7,No,No
2009-01-14,Albury,17.4,43.0,0.0,11.726547141679859,14.380359463191724,NW,39.0,SSE,SSW,7.0,17.0,40.0,8.0,1011.6,1006.9,0.6979355651650039,1.0928119503269969,25.6,41.5,No,No
2009-01-15,Albury,19.8,32.7,0.0,11.313244902466888,11.693919902100356,WNW,44.0,W,W,20.0,28.0,34.0,28.0,1008.4,1009.2,2.600417062414273,3.5690843168555624,27.6,27.1,No,No
2009-01-16,Albury,14.9,26.7,0.0,8.952960545013063,10.348086342375208,SW,56.0,WSW,SW,20.0,31.0,46.0,20.0,1014.1,1012.7,3.500007803998912,2.843218633139344,18.0,25.5,No,No
2009-01-17,Albury,10.5,28.4,0.0,9.15898111326555,11.214469688521495,SE,33.0,SE,SW,19.0,11.0,35.0,16.0,1019.7,1017.4,1.7240371184174705,2.413205081619761,16.0,25.8,No,No
2009-01-18,Albury,11.3,32.2,0.0,8.959503830164152,13.069096782750382,WNW,28.0,ENE,SSW,17.0,15.0,34.0,17.0,1019.7,1016.2,0.5061195637532308,1.5063869859802814,20.9,30.5,No,No
2009-01-19,Albury,13.9,36.6,0.0,9.957687846683548,12.902582414532466,WNW,39.0,SSE,NNE,2.0,15.0,39.0,10.0,1015.8,1010.6,0.9882136610377579,1.5879166780354126,22.0,34.4,No,No
2009-01-20,Albury,18.6,39.9,0.0,11.373845055732794,11.728685974664298,NNW,61.0,SSE,WNW,9.0,20.0,36.0,21.0,1010.1,1004.8,1.7548660601287196,2.746085332627896,26.8,37.7,No,No
2009-01-21,Albury,19.3,38.1,0.8,10.747641791019756,11.547550151686988,NNW,61.0,NE,WSW,15.0,17.0,48.0,17.0,1009.6,1005.9,2.1848693249343327,2.9207788603750267,27.3,36.1,No,No
2009-01-22,Albury,24.4,34.0,0.6,9.804220274184154,10.288634822505859,NW,80.0,N,NNW,26.0,48.0,60.0,39.0,1005.3,997.8,4.0,1.0,26.1,33.1,No,Yes
2009-01-23,Albury,18.8,35.2,6.4,10.458841696488825,10.405458448335967,WNW,52.0,S,NW,6.0,28.0,43.0,28.0,1007.9,1003.9,3.3707611301434426,3.1249323386660173,22.8,33.0,Yes,No
2009-01-24,Albury,20.8,30.6,0.0,11.369710484986559,10.815752202779846,W,54.0,W,W,30.0,28.0,41.0,21.0,1005.4,1007.6,3.966410569721141,3.201326673377082,23.3,29.7,No,No
2009-01-25,Albury,14.0,34.3,0.0,9.736071307712578,13.374446552171008,WSW,24.0,ESE,SSE,7.0,13.0,44.0,10.0,1016.5,1014.6,1.2574511931289614,1.4158994365884254,21.2,32.1,No,No
2009-01-26,Albury,15.7,38.4,0.0,10.334063790656383,13.050029159442344,S,33.0,SSE,WSW,7.0,7.0,48.0,12.0,1017.7,1014.6,1.161408785101635,1.6979930374401064,23.4,36.5,No,No
2009-01-27,Albury,18.5,38.2,0.0,10.073369561762835,12.579951352513145,NNE,31.0,SE,NNW,9.0,17.0,48.0,25.0,1017.8,1014.1,1.7361658420964332,1.9906187468559082,25.8,36.2,No,No
2009-01-28,Albury,20.4,40.7,0.0,11.176026845626112,13.16168002431345,N,37.0,E,NNE,7.0,13.0,45.0,15.0,1014.9,1011.6,1.490246990332217,1.7319436784199596,28.2,39.2,No,No
2009-01-29,Albury,21.8,41.5,0.0,11.632522488584215,13.613630843216201,SW,24.0,ESE,S,6.0,11.0,38.0,13.0,1015.7,1011.8,1.2484729632435467,1.2631977644515189,29.0,40.1,No,No
2009-01-30,Albury,22.3,42.9,0.0,12.214989385742179,13.661223625127002,NNE,28.0,ESE,SE,9.0,11.0,37.0,11.0,1014.6,1010.2,1.2053433733275583,1.3364113081331723,29.2,41.2,No,No
2009-01-31,Albury,22.0,42.7,0.0,12.505932129808404,12.519933351148193,ESE,48.0,ESE,SW,4.0,4.0,33.0,11.0,1014.2,1010.5,1.3468756069437262,1.9785779918944684,29.9,42.0,No,No
2009-02-01,Albury,28.0,43.1,0.0,14.737126726423721,10.387622031560673,SW,80.0,SE,E,15.0,9.0,27.0,9.0,1012.5,1008.7,2.831696422338947,3.297470920015904,32.4,41.9,No,No
2009-02-02,Albury,24.4,38.3,0.2,12.28561196496253,9.757322374257527,SW,56.0,NE,NW,19.0,7.0,32.0,21.0,1011.7,1007.4,2.981651300476557,3.4380848315242254,28.8,37.1,No,No
2009-02-05,Albury,21.5,41.2,0.0,11.576341987193416,12.900079476865889,WSW,35.0,SSE,S,7.0,19.0,48.0,15.0,1005.9,1002.6,2.411224801690949,1.926803044654534,26.5,39.7,No,No
2009-02-06,Albury,23.5,42.2,0.0,12.544223379425539,13.27958969229118,W,37.0,SE,W,6.0,15.0,39.0,8.0,1008.0,1005.0,2.069977138697862,1.5045313365036606,28.7,41.6,No,No
2009-02-07,Albury,22.3,44.8,0.0,13.140456976744531,14.323364511359983,NNW,59.0,SE,NW,9.0,33.0,36.0,11.0,1008.2,1003.8,1.4465466183813653,1.348764055446388,29.6,43.4,No,No
2009-02-08,Albury,28.3,40.2,0.0,13.928244448577427,10.295099270625409,NW,52.0,N,W,9.0,22.0,20.0,19.0,1007.0,1006.5,3.8548845050003884,5.0,34.5,38.5,No,No
2009-02-09,Albury,18.4,31.2,0.4,8.654551665471292,5.434112321764166,SE,37.0,SW,WSW,7.0,11.0,66.0,31.0,1009.3,1007.8,7.0,8.0,18.7,29.4,No,No
2009-02-10,Albury,14.9,27.3,0.0,8.27791649307163,10.646328579569413,SSE,41.0,SSE,SE,20.0,13.0,50.0,30.0,1011.6,1008.5,2.4951374535553725,1.0,17.4,25.8,No,No
2009-02-11,Albury,13.5,26.7,0.0,8.698051853395103,8.897181195507041,SSE,46.0,SSE,E,19.0,11.0,45.0,24.0,1012.8,1011.1,3.5110562946548143,3.71753852127069,16.7,24.9,No,No
2009-02-12,Albury,16.1,21.6,0.0,6.616705992142236,5.341657740976968,SE,46.0,SSE,NE,11.0,15.0,58.0,69.0,1017.0,1017.3,2.0,8.0,17.0,17.3,No,Yes
2009-02-13,Albury,14.6,29.0,3.0,9.202229614471815,10.915168264837373,SSE,41.0,SE,SSE,26.0,24.0,41.0,21.0,1023.3,1019.7,2.5001450847572784,2.2222045757184006,18.0,27.6,Yes,No
2009-02-15,Albury,13.3,31.3,0.0,8.50820068762453,10.730996461548873,NNE,41.0,SSE,SSW,7.0,15.0,50.0,23.0,1016.2,1012.8,2.4563596116211777,2.765904955771447,19.2,29.2,No,No
2009-02-16,Albury,17.2,31.1,0.0,9.257378444881397,10.164746611759872,E,35.0,SE,ESE,17.0,11.0,43.0,22.0,1017.7,1013.8,2.7643842208611034,2.8133154017792563,21.4,29.5,No,No
2009-02-17,Albury,12.5,28.8,0.0,8.017821940253388,10.736019686137517,N,31.0,SSE,ENE,7.0,11.0,46.0,17.0,1017.2,1013.5,2.2988058630292194,2.4172360909069184,18.0,27.0,No,No
2009-02-18,Albury,18.0,32.0,0.0,8.93188010778973,10.152273024213471,NW,31.0,ENE,SW,4.0,13.0,44.0,22.0,1012.4,1007.5,3.0430136540490302,2.6944801784289396,22.1,30.7,No,No
2009-02-19,Albury,16.2,34.0,0.0,9.412900420101995,11.353286953058493,WSW,48.0,SE,WSW,4.0,22.0,53.0,16.0,1007.8,1004.5,2.9368627109309777,2.4884933632925694,21.0,32.7,No,No
2009-02-20,Albury,18.7,29.1,0.0,9.560914728849571,8.740725707967753,SSW,41.0,NNW,SSE,7.0,17.0,45.0,39.0,1010.1,1010.8,4.407938962546602,4.182733872517492,21.5,26.8,No,No
2009-02-21,Albury,13.7,31.7,0.0,7.893279203773427,11.144750789809272,SSE,28.0,SSE,S,2.0,9.0,63.0,19.0,1012.5,1010.4,2.734598383064455,2.585883060304763,19.3,29.8,No,No
2009-02-22,Albury,15.5,33.2,0.0,9.11858511817561,11.390694865792367,NW,31.0,S,WNW,11.0,15.0,49.0,23.0,1015.6,1012.4,2.372992252793363,2.416508302357368,20.9,31.3,No,No
2009-02-23,Albury,14.3,34.0,0.0,9.718323156520878,11.431223461668898,NW,70.0,SE,NW,6.0,22.0,48.0,10.0,1013.0,1009.2,2.274146967240114,2.3575471326685005,20.7,33.4,No,No
2009-02-24,Albury,12.9,29.6,0.0,8.24318988485296,7.705534121543181,WNW,46.0,SW,WNW,7.0,24.0,54.0,14.0,1014.0,1012.7,6.0,7.0,18.7,28.6,No,No
2009-02-26,Albury,15.0,32.7,0.0,9.49685329759803,11.014304832611067,ESE,26.0,ESE,S,15.0,2.0,43.0,19.0,1017.8,1015.0,1.9976274266252538,2.605472066731231,20.7,30.5,No,No
2009-03-01,Albury,12.8,30.3,0.0,8.293850584091679,10.386048415137369,W,30.0,W,WSW,4.0,13.0,53.0,27.0,1010.5,1008.7,3.072554066566518,3.0656612310828883,17.3,28.1,No,No
2009-03-02,Albury,13.2,31.9,0.0,8.677584188614553,10.389189323842585,NNW,35.0,S,ENE,6.0,9.0,53.0,25.0,1014.1,1011.6,2.773405424516021,3.022991191141429,18.0,29.8,No,No
2009-03-03,Albury,18.0,31.1,0.0,7.893007669579323,8.343086397249724,WNW,52.0,NE,NNE,15.0,26.0,58.0,35.0,1014.7,1009.0,5.0,4.207979929103097,23.0,29.2,No,No
2009-03-04,Albury,13.8,22.1,0.2,7.138098506252605,8.996146074162098,WNW,57.0,W,WNW,26.0,33.0,57.0,26.0,1014.5,1013.1,4.401050501466393,3.303206178090388,15.6,21.9,No,No
2009-03-05,Albury,11.5,22.0,0.0,6.287621661992249,8.899526599833262,SW,50.0,WSW,W,19.0,33.0,60.0,33.0,1013.7,1011.8,4.325479889157052,3.4101077587204323,13.9,21.4,No,No
2009-03-07,Albury,8.3,27.9,0.0,6.9348376747275475,11.028223471005763,W,37.0,S,W,4.0,20.0,58.0,22.0,1015.2,1012.4,2.5840728756257505,2.288515240655169,13.3,27.0,No,No
2009-03-08,Albury,11.0,30.2,0.0,7.651953285337482,11.746352676205431,SSE,24.0,E,SSE,7.0,11.0,54.0,20.0,1017.0,1014.7,1.9537896798815382,2.070259837186743,17.6,28.8,No,No
2009-03-09,Albury,13.8,31.8,0.0,8.281235725794506,11.299500339732438,NNE,24.0,SSE,NE,6.0,17.0,49.0,28.0,1019.7,1015.9,2.3574811734812116,2.103468252841033,18.6,30.5,No,No
2009-03-10,Albury,15.5,32.0,0.0,8.896137229031272,9.192021457074876,NE,50.0,ESE,E,2.0,4.0,51.0,25.0,1019.5,1016.2,3.065866734338705,3.370764187629131,20.1,30.8,No,Yes
2009-03-11,Albury,18.4,30.5,1.2,8.636380782871228,10.103562438554109,NE,44.0,NE,N,15.0,19.0,57.0,23.0,1021.3,1018.0,3.430731736746978,2.689769618744549,21.5,29.6,Yes,No
2009-03-12,Albury,20.9,25.7,0.0,7.993383545558501,3.124751163389515,W,37.0,ENE,S,11.0,9.0,52.0,90.0,1019.5,1018.9,6.528070701252368,8.0,22.2,18.8,No,Yes
2009-03-14,Albury,16.4,27.0,3.0,6.117268114331396,6.686088095549946,SW,69.0,E,N,9.0,22.0,82.0,74.0,1012.7,1008.0,4.456418213552745,4.0,19.9,19.7,Yes,Yes
2009-03-15,Albury,10.0,19.7,11.6,5.193693858116705,4.159817985035333,WNW,39.0,W,NW,11.0,17.0,62.0,41.0,1013.4,1012.0,6.536596686880147,8.0,12.7,18.3,Yes,No
2009-03-16,Albury,8.8,21.9,0.0,4.4844854912949055,6.706168854559628,W,39.0,S,WNW,2.0,20.0,78.0,34.0,1013.3,1011.6,5.56519751334819,6.0,12.2,20.5,No,No
2009-03-17,Albury,8.4,25.3,0.0,5.236041650466046,9.247230851578829,WNW,35.0,SSE,WSW,9.0,17.0,78.0,34.0,1015.6,1013.2,3.785923620473447,3.394048235767915,12.1,23.9,No,No
2009-03-18,Albury,9.3,28.0,0.0,6.0579234288218275,9.773888155598224,NW,52.0,SSE,NW,6.0,11.0,76.0,19.0,1017.4,1013.9,3.072404251457172,3.018045163750184,14.7,27.2,No,No
2009-03-19,Albury,11.3,30.1,0.0,7.992412272701248,11.079985823094793,WSW,24.0,S,SW,6.0,7.0,56.0,15.0,1016.3,1013.6,2.569781601330245,2.085170826108662,14.7,29.3,No,No
2009-03-20,Albury,11.5,33.5,0.0,8.777891537072502,12.49815416493133,SSE,22.0,NE,N,7.0,7.0,50.0,13.0,1016.5,1013.6,1.5296896116639118,1.5501922653943225,17.4,32.6,No,No
2009-03-22,Albury,14.6,30.0,0.0,8.198311860781516,11.397303624337459,NE,37.0,E,NNE,4.0,19.0,56.0,30.0,1014.8,1012.7,3.0,1.0,18.1,29.0,No,No
2009-03-24,Albury,10.8,31.9,0.0,8.332535198964763,11.424314051213035,S,48.0,SSE,WNW,6.0,20.0,62.0,20.0,1016.5,1014.4,2.634781370295336,2.3605501055147897,15.4,30.7,No,No
2009-03-25,Albury,15.4,22.3,0.4,5.562266825484541,3.286918078814253,ENE,30.0,SSE,SSE,11.0,9.0,69.0,78.0,1017.4,1019.2,8.0,8.0,18.3,19.6,No,Yes
2009-03-28,Albury,9.1,28.9,0.0,6.759567011398989,11.426064336426801,NNW,24.0,N,N,2.0,17.0,60.0,26.0,1023.8,1020.6,2.247689098595206,1.873899332443699,14.0,27.7,No,No
2009-03-31,Albury,12.3,29.9,0.0,7.0844701304300255,10.880958454209436,WSW,26.0,S,SSW,2.0,13.0,61.0,25.0,1023.2,1019.5,2.551470662253223,2.182972685121495,17.1,28.6,No,No
2009-04-03,Albury,18.4,28.1,8.6,6.158726099239967,3.398448090468305,W,80.0,E,NNE,7.0,17.0,92.0,49.0,1018.8,1012.9,8.0,6.0,19.0,27.4,Yes,Yes
2009-04-05,Albury,7.8,21.7,0.0,3.8258274037698063,8.857858775688996,WSW,31.0,E,NW,6.0,19.0,72.0,37.0,1020.4,1016.5,3.5185258871511564,3.116384854961858,12.9,21.2,No,No
2009-04-06,Albury,8.1,21.4,0.0,5.42591506375384,10.328823434544967,W,35.0,SSE,WSW,13.0,19.0,58.0,20.0,1021.8,1019.6,2.666437274702357,2.3281825681086126,13.8,20.9,No,No
2009-04-07,Albury,7.5,22.5,0.0,5.352143422685145,9.433553344068962,SE,28.0,S,S,7.0,7.0,55.0,27.0,1026.7,1023.5,2.4690131845601364,2.702062739724049,13.3,21.6,No,No
2009-04-08,Albury,8.2,24.0,0.0,5.051356791399354,10.388764192750756,SSE,17.0,SSE,SSE,7.0,13.0,60.0,30.0,1027.1,1023.4,2.35729518486702,2.093094780799575,13.8,23.5,No,No
2009-04-09,Albury,8.1,25.7,0.0,4.817782866743081,10.731698794680035,ENE,22.0,ESE,S,9.0,13.0,67.0,27.0,1024.2,1019.6,2.124293951298373,2.1267142671564656,15.1,25.0,No,No
2009-04-10,Albury,11.6,26.7,0.0,6.630741375485816,4.480720563910848,W,48.0,SE,NE,6.0,11.0,59.0,42.0,1021.5,1017.7,8.0,7.0,16.4,24.3,No,Yes
2009-04-11,Albury,13.0,24.9,8.4,4.845333953057637,4.494010815851421,W,46.0,S,E,6.0,11.0,75.0,47.0,1024.4,1020.3,8.0,6.0,18.0,24.4,Yes,Yes
2009-04-13,Albury,9.9,25.4,0.0,4.802152234508901,9.450074540994398,NNE,19.0,ENE,SSW,4.0,7.0,65.0,35.0,1023.0,1018.7,2.762079283291939,2.7630894508204165,16.1,25.0,No,No
2009-04-15,Albury,10.7,21.9,0.0,7.46412613417341,10.80091837760689,W,63.0,NW,W,26.0,31.0,44.0,27.0,1008.2,1009.8,2.0,3.541584079212747,20.5,18.9,No,No
2009-04-17,Albury,6.6,21.6,0.0,4.828585518428535,9.461803273106046,WNW,26.0,ENE,W,6.0,11.0,59.0,39.0,1018.5,1016.8,5.0,1.0,12.6,21.6,No,No
2009-04-18,Albury,7.0,23.4,0.0,4.0039654616244,9.641198303869439,W,24.0,SSE,W,2.0,17.0,73.0,37.0,1022.8,1019.3,3.0969897649700364,2.68886712014249,12.4,22.9,No,No
2009-04-19,Albury,11.2,23.9,0.0,5.679220287132806,9.66932271001658,SE,31.0,SE,SE,13.0,15.0,54.0,33.0,1022.7,1019.6,2.6871278762926387,2.7913280063964123,18.0,23.6,No,No
2009-04-20,Albury,7.4,22.0,0.0,4.6414240038648185,9.134348076612898,SSE,28.0,SE,SE,2.0,7.0,58.0,29.0,1023.6,1020.0,2.619147541132488,2.883309720734136,14.1,21.3,No,No
2009-04-21,Albury,5.7,21.4,0.0,3.3100191991754766,8.87742247609982,ESE,17.0,ENE,SSE,6.0,7.0,68.0,39.0,1025.2,1020.9,2.7406462618907916,2.969545687312589,12.2,20.9,No,No
2009-04-24,Albury,10.6,16.2,0.0,1.2610440160808238,0.4986784843723395,WNW,39.0,ESE,NNE,7.0,4.0,74.0,86.0,1008.9,1002.4,8.0,8.0,14.9,15.1,No,Yes
2009-04-25,Albury,12.9,15.8,20.0,2.762291596726624,0.09701991429171031,W,70.0,WNW,NNW,19.0,15.0,83.0,89.0,1004.8,1000.9,8.0,8.0,13.3,14.5,Yes,Yes
2009-04-26,Albury,8.6,12.9,21.0,3.278773806917039,2.2484978542225846,NNW,63.0,NW,WNW,26.0,31.0,77.0,62.0,1004.0,1003.3,8.0,8.0,9.5,11.6,Yes,Yes
2009-04-27,Albury,4.5,11.5,3.2,0.9055490067761469,2.02099109984189,NW,26.0,N,NNW,9.0,13.0,82.0,79.0,1013.8,1013.5,8.0,8.0,7.6,9.4,Yes,Yes
2009-04-28,Albury,7.6,14.5,4.8,2.9684978527215033,7.505117047316004,WNW,35.0,W,W,15.0,20.0,83.0,48.0,1018.0,1018.3,8.0,1.0,10.1,14.0,Yes,No
2009-04-29,Albury,5.4,12.2,0.0,2.183435163166908,3.0569714822491285,SSE,19.0,SE,SSE,9.0,7.0,62.0,46.0,1023.1,1020.9,6.41540369958023,8.0,8.2,12.1,No,No
2009-05-02,Albury,7.2,19.2,0.0,2.9186688854551317,5.436549733386163,SW,22.0,ENE,W,7.0,6.0,81.0,49.0,1026.9,1024.0,8.0,4.0,10.1,19.1,No,No
2009-05-03,Albury,4.6,18.9,0.0,2.2754355074340324,7.946930748243461,S,15.0,N,SSE,4.0,7.0,75.0,51.0,1028.7,1025.9,3.331098226821574,3.4838901875020625,10.6,18.5,No,No
2009-05-04,Albury,4.2,19.1,0.0,2.035144185800095,8.796861213553559,W,19.0,ENE,WSW,6.0,13.0,86.0,44.0,1029.8,1027.3,3.376134652285362,2.9984381381417506,9.6,18.8,No,No
